Codigo,Nombre,CodigoEstado,EstadoDescripcion,FechaProcesamiento
1063538-3454-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1063538-878-Cot26,6,Aceptada,2026-05-03 19:49:54
1426098-109-CM26,"P.02 Ip-Irc Coronel, Req. N° 6// Compra Trimestral De Abarrotes",6,Aceptada,2026-05-03 19:49:54
1549-1811-AG26,Pac Menor 100 Utm 107-5040 Paq.Cesarea Desech.Esteril,4,Enviada a Proveedor,2026-05-03 19:49:54
2080-3722-SE26,Cuota 4 De 24 Marzo 2026,6,Aceptada,2026-05-03 19:49:54
2432-275-AG26,Sc. Orden De Compra Generada Por Invitación A Compra Ágil: 2432-308-Cot26,6,Aceptada,2026-05-03 19:49:54
2771-230-AG26,"Sopi 290, Compra De Tablet, Reloj Inteligente Y Boligrafo Metalico (Dideco-Org.Comunitarias), Iddoc: 315974 Coordinar Con Katherine Luna Al Fono 9-77704275 O Al Correo Katherine.Luna@Munichiguayante.Cl",6,Aceptada,2026-05-03 19:49:54
3447-1018-SE26,Anexo Contrato . Amplía Plazo Ejecución Obra,6,Aceptada,2026-05-03 19:49:54
3992-40-SE26,Proyecto De Implementación De Salas Sensoriales,6,Aceptada,2026-05-03 19:49:54
4404-76-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 4404-44-Cot26,6,Aceptada,2026-05-03 19:49:54
4777-367-AG26,10 M3 Cubico De Aridos,6,Aceptada,2026-05-03 19:49:54
4850-18-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 4850-17-Cot26,6,Aceptada,2026-05-03 19:49:54
539119-1404-SE26,"B.1. Servicio De Lavandería Para El Hotel Trizano Correspondiente De Abril Del Año 2026, Desde Licitación N° 539119-13-Lq24. Administrado Por La Dirección De Bienestar De Carabineros.",6,Aceptada,2026-05-03 19:49:54
900-432-SE26,Hogar Protegido Novavita Abril,6,Aceptada,2026-05-03 19:49:54
900-491-SE26,Hogar Protegido Novavita Mayo,6,Aceptada,2026-05-03 19:49:54
