Codigo,Nombre,CodigoEstado,EstadoDescripcion,FechaProcesamiento
1000813-106-AG26,Fi_Adq. De Bebestibles Para El Casino De Sof De La 4Ta. Briaco Chorrillos-Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-107-Cot26,12,Recepción Conforme,2026-05-03 18:31:50
1000813-113-AG26,Lp_ Adquisicion De Repuestos Para Vehiculo Administrativo De La Jal Cm Austral Minibus Mercedes Benz Sprinter Brcf-27 Compra Ágil: 1000813-109-Cot26,4,Aceptada,2026-05-03 18:31:50
1000813-117-AG26,Lp_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Del Cuartel General V De. Compra Ágil: 1000813-104-Cot26,4,Aceptada,2026-05-03 18:31:50
1000813-121-AG26,Fi_ Adquisicion De Materiales Para Mantenimiento Y Reparacion Para El Casino Militar De Oficiales De La Brigada Compra Ágil: 1000813-140-Cot26,4,Aceptada,2026-05-03 18:31:50
1000813-128-AG26,Fi_ Adquisicion De Pintura Alto Trafico Para El Quincho De La Jal Cm Austral Dependiente Del Casino De Suboficiales Compra Ágil: 1000813-114-Cot26,6,Aceptada,2026-05-03 18:31:50
1000813-130-AG26,Lp_ Adquisicion De Insumos Computacionales Para El Funcionamiento Del Cuartel General V De Compra Ágil: 1000813-89-Cot26,4,Aceptada,2026-05-03 18:31:50
1000813-135-AG26,"Lf_ Adquisicion De Calentadores A Gas Natural Para El Predio De Instruccion Santa Maria, Dependiente De La 4Ta Briaco Chorrillos Compra Ágil: 1000813-95-Cot26",6,Aceptada,2026-05-03 18:31:50
1000813-136-AG26,Lp_ Adquisicion De Materiales De Oficina Para El Cuartel General V De Compra Ágil: 1000813-90-Cot26,6,Aceptada,2026-05-03 18:31:50
1000813-137-AG26,"Lp_Adquisición De Materiales Y Útiles De Aseo, Productos Elaborados De Plasticos, Otros Materiales De Uso Y Consumo Para Ser Usados Por La Jal Del Cm Austral - Compra Ágil: 1000813-149-Cot26",6,Aceptada,2026-05-03 18:31:50
1000813-140-AG26,Lp_ Servicio De Mantenimiento Y Reparacion De Camaras Sanitarias Del Cuartel De Tropas Divisionarias Compra Ágil: 1000813-128-Cot26,4,Aceptada,2026-05-03 18:31:50
1000813-141-AG26,Lp_Adquisicion De Banderas Y Gallardetes Para La Jal Cm Austral_ Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-133-Cot26,4,Aceptada,2026-05-03 18:31:50
1000813-89-CM26,Fi_ Adquisicion De Alimentos Para El Casino Militar De Suboficiales De La Jal Cm Austral,12,Recepción Conforme,2026-05-03 18:31:50
1002-148-SE26,Servicio Reparacion Vehiculos Fiscales,6,Aceptada,2026-05-03 18:31:50
1002-149-SE26,Servicio Reparacion Semiremolque,6,Aceptada,2026-05-03 18:31:50
1002-150-SE26,Reparcion Circuito Electrico Rodillo,6,Aceptada,2026-05-03 18:31:50
1002-159-SE26,Servicio De Movilizacion Pesaje Chiloe,6,Aceptada,2026-05-03 18:31:50
1002-162-SE26,Convenio Servicio Aseo Mes De Abril 2026,4,Aceptada,2026-05-03 18:31:50
1002584-149-CM26,Pasaje Santiago-La Serena 06-05 Al 07-05 Daniela Valenzuela,12,Recepción Conforme,2026-05-03 18:31:50
1002584-150-AG26,Renovación De Licencias Survey Monkey Compra Ágil: 1002584-39-Cot26,6,Aceptada,2026-05-03 18:31:50
1002584-152-SE26,Licencias Anual Microsoft Power Bi 1002584-4-Le26,4,Aceptada,2026-05-03 18:31:50
1002588-109-AG26,Adquisición De Tarjetas De Alimentación; Colegio Claudio Arrau; Orden De Compra Generada Por Invitación A Compra Ágil: 1002588-41-Cot26,6,Aceptada,2026-05-03 18:31:50
1002588-13-CM26,Adquisición De Resmas; Slep Puerto Cordillera; Orden De Compra: 1002588-13-Cm26,12,Recepción Conforme,2026-05-03 18:31:50
1002772-3054-SE26,"Protesis Transtibial K2 - K3/Protesis Transfemoral K2/ Id: 1002772-6-Lr25 (Lc,Medicina Física Y Rehabilitación,2204004004,Rrc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-3105-SE26,"Equipo Sutura Desechable Id:1002772-101-Lq24 (Lc,Transversal, 2204005003, Rrc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-3683-SE26,"Tubo Tapa Celeste 2 Ml C/Citrato De Na 3,2% Id: 1002772-26-Lr23 (Lc,Transversal,2204005002, Rrc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-4627-AG26,"Mascarilla Silicona Para Resucitador Manual Tamaño 00Id:1002772-590-Cot26(Ag,Part-Pab-Pre-Part,2204005003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-4963-SE26,"Pato Urinario Desechable Id:1002772-79-Lp24 (Lc, Transv,2204005003,Cbo)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5314-AG26,"Pinza De Extracción Cuerpo Extra?O Pediátrica, Reutilizable Id:1002772-922-Cot26(Ag,Proce,2204005003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5400-AG26,"Alcohol-Acetona 500 Ml,Id 1002772-805-Cot26,(Ag,Laboratorio,2204005003,Mmc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5426-SE26,"Pack De Cirugia Monofocal Id:1002772-65-Lr25 (Lc, Pab. Central,2204005003, Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5437-SE26,"Prótesis Expansora Mamaria, Distintos Volúmenes, Medidas Y Proyección Id: 1002 772-91-Lq24(Lc, Pato.Mamaria, 2204004006,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5438-SE26,"Dializador 2.1 Mts2 O Similar Alto Flujo Id:1002772-24-Lp25 (Lc, Dialisis, 2204005003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5445-CM26,"Bajada Universal Luer Lock (Cm,Transv,2204005003,Cbo)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5503-SE26,"Protesis De Rodilla Primaria Persona Lic 1002772-26-Lr24 (Lc, Pabellon , 2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5504-SE26,"Protesis De Rodilla Primaria Persona Lic 1002772-26-Lr24 (Lc, Pabellon , 2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5505-SE26,"Protesis Total De Cadera Lic 1002772-20-Lq25 (Lc,Pabellon,2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5509-SE26,"Protesis Total De Cadera Lic 1002772-20-Lq25 (Lc,Pabellon,2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5510-SE26,"Protesis De Cadera Vástago Cónico Monoblock, Vástago De Perfil Distal Reducido No Cementado Más Cotilo Opcion Doble Movilidad Lic.1002772-34-Lq25 (Lc,Pabellon,2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5511-SE26,"Protesis De Rodilla Primaria Persona Lic 1002772-26-Lr24 (Lc, Pabellon , 2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5520-CM26,"Manga Para Ester. Con Fuelle 20 X 100 Mt Con Control Ester / Manga Para Ester. Con Fuelle 30 X 100 Mt Con Control Ester (Cm,Ester,2204005003,Jrt)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5521-CM26,"Detergente Enzimatico Bidon (Endozime Premium Con Apa) (Cm,Ester,2204007002,Jrt)",6,Aceptada,2026-05-03 18:31:50
1002772-5523-SE26,"Protesis Total De Cadera Lic 1002772-20-Lq25 (Lc,Pabellon,2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5525-SE26,"Sistema O Caja De Osteosintesis Para Cirugia Maxilofacial Sistema 1,3 - 1,5 - 2,0 - 2,4 Lic 1002772-76-Lq25 (Lc,Odontologia,2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5528-SE26,"Protesis Total De Cadera Lic 1002772-20-Lq25 (Lc,Pabellon,2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5531-SE26,"Protesis De Cadera Vástago Cónico Monoblock, Vástago De Perfil Distal Reducido No Cementado Más Cotilo Opcion Doble Movilidad Lic.1002772-34-Lq25 (Lc,Pabellon,2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5551-SE26,"Sistema O Caja De Osteosintesis Para Cirugia Maxilofacial Sistema 1,3 - 1,5 - 2,0 - 2,4 Lic 1002772-76-Lq25 (Lc,Odontologia,2204004004,Cmg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5589-SE26,"Aplicador Coloreado Solucion Topica Con Gluconato De Clorhexidina 2% Y Alcohol 70% De 10-11 Ml/Aplicador Coloreado Solucion Topica Con Gluconato De Clorhexidina 2% Y Alcohol 70% Desde 3 A 5 Ml Id:1002772-64-Lq24 (Lc,Transv,2204005003.Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5590-SE26,"Aposito Carbon Activado Plata 6.5 X 9.5 Cm (1-3) Id: 1002772-88-Lr25 (Lc,Transv,2204004003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5598-SE26,"Guante Quirurgico Esteril N? 6 Y 6 1/2 (Zona A) Id:1002772-13-Lq25 (Lc,Transv,2204005003,Mtm)",6,Aceptada,2026-05-03 18:31:50
1002772-5599-SE26,"Hoja Bisturi N° 22 (1-18) Id:1002772-92-Le24 (Lc,Trans,2204005003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5695-SE26,"Transductor Desechable Id: 1002772-54-Lq24 (Lc,Transv,2204005003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5712-SE26,"Venda Gasa Elasticada 10 Cm X 4 Mt (2-11) Id: 1002772-45-Lq24 (Lc,Transv,2204004003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5720-SE26,"Pato Urinario Desechable Id: 1002772-79-Lp24 (Lc,Transv,2204005003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5735-SE26,"Solucion Acidos Grasos Hiperoxigenados 30 Ml (1-1) Id: 1002772-113-R123 (Lc,U.P.C Adulto,2204004003,Rrc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5744-AG26,"Sutura De Monofilamento De Poliglecaprone 25, Calibre 4.0 Color Dorado Longitud 45 Cms Con Aguja Estriada De Reverso Cortante, Punta De Precision, 3-8 De Circulo De 19 Mm Id: 1002772-995-Cot26 (Ag,Caae,2204005003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5751-AG26,"Apósito De Hidrofibra De Carboximetilcelulosa Al 100% Doble Capa Con Plata Ionica Al 1,2%, Edta Y Be Cl Para Eliminación De Biofilm 15X15 Cms. (Exclusivo Cuidados Paliativos) Id: 1002772-1036-Cot26 (Ag,Caae,2204004003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5755-SE26,"Multiligador De Varices Esofagicos De Un Barril De 6 Bandas Desechable 9.5-13 Mm 1002772-25-Lq23 (Lc, Unidad De Procedimiento, 2204005003,Apg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5767-CM26,"Aposito Adhesivo Transparente 10 X 12 Cm (1-8) (Cm,Transversal,2204004003,Rrc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5789-SE26,"Kit Trocar Adulto 2 De 5Mm X 11 M(2-36) Id:1002772-16-Lr25 (Lc,Pab.Central,, 2204005003,Apg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5797-AG26,"Guante Quirurgico N° 6 1/2 Libre Latex Id 1002772-897-Cot26 (Ag,Transv,2204005003,Cbo)",6,Aceptada,2026-05-03 18:31:50
1002772-5800-AG26,"Guante Quirurgico N° 8.0 Libre Latex Id: 1002772-901-Cot26 (Ag,Transv,2204005003,Cbo)",6,Aceptada,2026-05-03 18:31:50
1002772-5815-AG26,"Cepillo 2.5 Mm Diametro 300 Mm Largo 12 Mm Largo De Cabeza,Ud 1002772-1021-Cot26,(Ag,Esterilizacion,2204005003,Mmc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5816-AG26,"Manga Laparoscopia 15X200,D 1002772-1026-Cot26,(Ag,Ersterilizacion,2204005003,Mmc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5828-AG26,"Aposito Transparente Adhesivo 5 X 7 Cm I.V. Id: 1002772-1056-Cot26 (Ag, Cirinf, 2204004003,Mtm)",6,Aceptada,2026-05-03 18:31:50
1002772-5830-AG26,"Fonendoscopio Plano Id:1002772-1064-Cot26 (Ag,Med 6B, Cirinf,Utiadul,Upc Adul,2204005003,Mtm)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5839-AG26,"Estilete Intu Estilete Intubacion Intersurgical Bouggie 15 Fr,Id 1002772-1062-Cot26,(Ag,Upc Adulto,2204005003,Mmc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5840-SE26,"Aposito Alginato De Calcio + Plata 10X10 Cm,Id:1002772-88-Lr25,(Lc,Procedimiento,2204004003,Apg)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5844-AG26,"Limpiador/Pulidor Acero 3M Lata 600 Grs O Su Equivalente Id 1002772-912-Cot26 (Ag,Ester,2204005003,Cbo)",4,Aceptada,2026-05-03 18:31:50
1002772-5862-AG26,"Electrodo Monopolar Hook En L Con Punta Ceramica Reusable Id: 1002772-1175-Cot26 ( Ag,Pabellon Central Y Anestesia,2204005003,Rrc)",12,Recepción Conforme,2026-05-03 18:31:50
1002772-5869-AG26,"Talonera Antiescara De Espuma Id:1002772-1073-Cot26 (Ag,Ciradu 11C, Medi 9C,Medquir 6A,2204005003,Mtm)",6,Aceptada,2026-05-03 18:31:50
1002772-5881-AG26,"Bandejas Acero Inoxidable 39X29X3 Cm,Id: 1002772-1083-Cot26,(Ag,Traumatologia,2204005003,Mmc)",6,Aceptada,2026-05-03 18:31:50
1002772-5884-AG26,"Aposito Carboximetilcelular Plata Lamina 10X10 Cm,Id1002772-1085-Cot26,(Ag Medicina 6B/Medico Q. 6A,Caae Indif., 2204004003,Mmc)",6,Aceptada,2026-05-03 18:31:50
1002772-5888-AG26,"Toma Presion Digital Omron O Su Equivalente Id 1002772-1053-Cot26 (Ag,Cal. Vida, 2204005003,Cbo)",4,Aceptada,2026-05-03 18:31:50
1002772-5889-AG26,"Canula Traqueostomia Pediatrica 3.5 Con Balon,Id 1002772-1090-Cot26,(Ag.Pediatria,2204005003,Mmc)",6,Aceptada,2026-05-03 18:31:50
1002772-5908-SE26,"Contenciones Id: 1002772-30-Lr24 (Lc,Medquirur 7A, 2204005003,Mtm)",6,Aceptada,2026-05-03 18:31:50
1002772-5913-AG26,"Collar Cervical Rigido Adulto,Id 1002772-1110-Cot26,(Ag,Emergencia Adulto,2204004006,Mmc)",6,Aceptada,2026-05-03 18:31:50
1002772-5916-AG26,",Collar Cervical Semi Rigido Talla M / Talla Lid 1002772-1111-Cot26,(Ag,Emergencia Adulto,2204004006,Mmc)",6,Aceptada,2026-05-03 18:31:50
1002772-5917-AG26,"Acrilico Autocurado/Rap Monomero 210Cc A Compra Ágil: 1002772-1118-Cot26 (Ag.Odontologia,2204004005,Cmg)",6,Aceptada,2026-05-03 18:31:50
1002772-5920-AG26,"Contencion De Manos Magnetica / Contencion Adulto Para Sillon,Id 1002772-1137-Cot26,(Ag,Emergencia Adulto,2204004006,Mmc)",6,Aceptada,2026-05-03 18:31:50
1002772-5924-SE26,"Implante Mamario Recubierto De Poliuterano, Distintos Volúmenes, Medidas Y Proyección Id: 1002772-91-Lq24 (Lc,Patologia Mamaria,2204004004,Rrc)",6,Aceptada,2026-05-03 18:31:50
1002772-5926-SE26,"Sutura De Nylon Monofilamento Negro Calibre 4.0 Longitud 45Cms Con Aguja Estriada De Reverso Cortante 3/8 Circular 24 Mm (1-27) Id: 1002772-28-Lr25 (Lc,Caae,2204005003,Mtm)",6,Aceptada,2026-05-03 18:31:50
1002772-5927-SE26,"Sutura De Nylon Monofilamento Negro Calibre 3.0 Longitud 45Cms Con Aguja Estriada De Reverso Cortante 3/8 Circular 24 Mm (1-28)163T Id:1002772-28-R125 (Lc,Caae,2204005003,Mtm)",6,Aceptada,2026-05-03 18:31:50
1002772-5928-AG26,"Alcohol Metilico P.Analisis Id: 1002772-1124-Cot26 (Ag,Laboratorio Clinico,2204003002,Rrc)",6,Aceptada,2026-05-03 18:31:50
1002772-5929-SE26,"Tapa Jeringa Enfit (Caja) ( 2 - 22) Id: 1002772-61-Lr25 (Lc,Alimentacion,2204005003,Apg)",6,Aceptada,2026-05-03 18:31:50
1002772-5930-SE26,"Cateter Intravenoso Periferico Con Sistema Integrado 22G (Uso De Alta Presion Psi 326) Id: 1002772-149-Lr23 (Lc,Entrenamiento Clínico Bpso , 2204005003,Rrc)",6,Aceptada,2026-05-03 18:31:50
1002772-5931-SE26,"Parche De Hemostasia Avanzada Absorbible De Celulosa Oxidada Neutralizada (Surgicel) (1-3) Id: 1002772-15-Lq25 (Lc, Pabellon Central Y Anestesia,2204005003,Rrc)",4,Aceptada,2026-05-03 18:31:50
1002772-5932-SE26,"Sutura Poliglactina Violeta 5.0 Hebra 70Cm Aguja Rb1 1/2 Circulo 17Mm J303H (1-28) Id: 1002772-21-Lr25 (Lc,Pabellon Central Y Anestesia,2204004003,Rrc)",4,Aceptada,2026-05-03 18:31:50
1002772-5933-AG26,"Sistema De Drenaje Tipo Blake 24 Fr A Compra Ágil: 1002772-1151-Cot26 (Ag,Pabellon,2204005003,Cmg)",6,Aceptada,2026-05-03 18:31:50
1002772-5934-AG26,"Pezonera Talla S Id: 1002772-1168-Cot26 (Ag,Puericultura,2204005003,Mtm)",4,Aceptada,2026-05-03 18:31:50
1002772-5935-SE26,"Sutura De Poliglactina 3.0 Incoloro Longitud 70/ Sutura De Poliglactina 5/0, Incoloro / Sutura Poliglactina Violeta 5.0 Id: 1002772-21-Lr25 (Lc,Pabellon Central Y Anestesia,2204004003,Rrc)",4,Aceptada,2026-05-03 18:31:50
1002772-5936-AG26,"Canula Traqueostomia Pediatrica 5.0 Sin Balon (Similar Tecnico Shiley),Id:1002772-1178-Cot26,(Ag,Caae Indiferenciado,2204005003,Apg)",6,Aceptada,2026-05-03 18:31:50
1002772-5937-AG26,"Pinza Kelly Recta 14 Cm (1-20)/Pinza Mosquito Recta 12.5 Cms Id:1002772-1169-Cot26 (Ag,Labcli,Clinforen,2204005003,Mtm)",4,Aceptada,2026-05-03 18:31:50
1002772-5938-AG26,"Canula Traqueostomia Pediatrica 4.0 Con Balon (Similar Tecnico Shiley),Id:1002772-1179-Cot26,(Ag,Caae Indiferenciado,2204005003,Apg)",6,Aceptada,2026-05-03 18:31:50
1002772-5939-SE26,"Sutura De Poliglactina 910, Calibre 2.0, Violeta, Longitud 150 Cms., Sin Aguja Js615H Id: 1002772-21-Lr25 (Lc,Pabellon Central Y Anestesia,2204004003,Rrc)",6,Aceptada,2026-05-03 18:31:50
