Codigo,Nombre,CodigoEstado,EstadoDescripcion,FechaProcesamiento
1002772-5973-AG26,"Alginato Calcio 10 X 10 Cm Id:1002772-1186-Cot26 (Ag,Medi 6B,Cirinf,2204005003,Mtm)",6,Aceptada,2026-05-03 19:49:54
1002772-5983-AG26,"Lugol 5% 100 Cc,Id 1002772-1163-Cot26,(Ag,Parto-Pabellon Y Preparto,2204003002,Mmc)",6,Aceptada,2026-05-03 19:49:54
1020-110-SE26,Pasaje Aéreo - Destino Temuco,6,Aceptada,2026-05-03 19:49:54
1028-99-SE26,Orden De Compra Desde 1028-12-Lp26,6,Aceptada,2026-05-03 19:49:54
1052642-6-AG26,Póliza De Seguro - 90 - Seguridad Publica Compra Ágil: 1052642-3-Cot26,6,Aceptada,2026-05-03 19:49:54
1057055-740-SE26,Shv Res 2724 Pac Mayo 2026 Suministro De Medicamento Insulina Humana Glargina Recombinante Lapiz Precargado 100Uiml 3Ml Con Equipos En Comodato Desde 1057055-93-Lr25,6,Aceptada,2026-05-03 19:49:54
1057379-157-CM26,Compra Verdura Fresca - Abril 2026 - Hsap,12,Recepción Conforme,2026-05-03 19:49:54
1057389-1809-CM26,Consumo De Pan,12,Recepción Conforme,2026-05-03 19:49:54
1057402-2976-SE26,(Mis) Alimentos Pacientes Abril/F. Y Verduras,12,Recepción Conforme,2026-05-03 19:49:54
1057402-2999-SE26,(Mis) Alimentos Funcionarios Abril/F. Y Verduras,12,Recepción Conforme,2026-05-03 19:49:54
1057402-3015-SE26,(Mis) Alimentos Pacientes Abril/Abarrotes,12,Recepción Conforme,2026-05-03 19:49:54
1057402-4815-CM26,Mis/Pedido Extra Aseo Mayo/Toalla Papel,6,Aceptada,2026-05-03 19:49:54
1057414-228-AG26,Ag-Adquisicion De Articulos De Aseo Para El Servicio De Salud Biobio-Req.63-22.04.007.002 -Bdss229086-(Joy),6,Aceptada,2026-05-03 19:49:54
1057417-10839-AG26,Ig Rrr Ag Pedido Abril 2026 Imprenta,12,Recepción Conforme,2026-05-03 19:49:54
1057417-10840-AG26,Ig Rrr Ag Pedido Abril 2026 Etiquetas Y Fichas,12,Recepción Conforme,2026-05-03 19:49:54
1057417-11043-SE26,"Ig Jpg Lp, Pedido Mayo 2026,Envases Dese",12,Recepción Conforme,2026-05-03 19:49:54
1057417-11302-CM26,"Ig Msp Cm Pedido Mayo, Compra Insumos De Aseo",12,Recepción Conforme,2026-05-03 19:49:54
1057417-11306-CM26,"Ig Msp Cm Pedido Maryo, Compra Alimentos",12,Recepción Conforme,2026-05-03 19:49:54
1057417-11585-AG26,"Ig Jpg Ag, Pedido Mayo, Accesorio Mamadera",12,Recepción Conforme,2026-05-03 19:49:54
1057417-11593-AG26,Ic Mcm Ag Ic Pedido Mayo 2026,6,Aceptada,2026-05-03 19:49:54
1057417-9799-AG26,Ig Rrr Ag Pedido Marzo 2026 Posicionador De Cabeza,12,Recepción Conforme,2026-05-03 19:49:54
1057431-1315-SE26,Orden De Compra Desde 2157-184-Lp25,6,Aceptada,2026-05-03 19:49:54
1057439-2884-AG26,Libros Farmacia Especialidades Medicas1057439-2089-Cot26,6,Aceptada,2026-05-03 19:49:54
1057476-19-SE26,Gran Compra Id 73359 - Sidapt,12,Recepción Conforme,2026-05-03 19:49:54
1057476-324-CM26,Verduras Congeladas Alimentacion,12,Recepción Conforme,2026-05-03 19:49:54
1057476-327-SE26,"Columna Hplc Nucleosil C18 50Mm/4,6Mm",12,Recepción Conforme,2026-05-03 19:49:54
1057476-378-SE26,Bandeja Aluminio Desechable,12,Recepción Conforme,2026-05-03 19:49:54
1057476-384-CM26,Alimentos No Perecibles Bodega Central,12,Recepción Conforme,2026-05-03 19:49:54
1057476-392-SE26,Frutas Y Verduras Rehabilitacion,12,Recepción Conforme,2026-05-03 19:49:54
1057476-403-SE26,Frutas Y Verduras Forense,12,Recepción Conforme,2026-05-03 19:49:54
1057480-1180-SE26,C.G. Demercado Spa,6,Aceptada,2026-05-03 19:49:54
1057480-1204-CM26,Orden De Compra: 1057480-1204-Cm26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5806-AG26,Colchones Para Área Médica Del Hospital Del Salvador.,12,Recepción Conforme,2026-05-03 19:49:54
1057491-1903-CM26,Jco/Alimentos/Pacientes/Abril 2026,12,Recepción Conforme,2026-05-03 19:49:54
1057503-1877-AG26,Memo N°53 Sedile Abril Compra Ágil: 1057503-1038-Cot26,6,Aceptada,2026-05-03 19:49:54
1057503-2130-SE26,Lios Desde 09/04 Al 16/04,6,Aceptada,2026-05-03 19:49:54
1057509-4710-SE26,"Material Oficina Mayo 2026 (Conv, Prm)",6,Aceptada,2026-05-03 19:49:54
1057509-4720-SE26,"Adq. Carpetas Rojas (Conv, Prm)",6,Aceptada,2026-05-03 19:49:54
1057532-508-SE26,"F2-002-Jfr | Reparación Portón Metálico De Acceso A Sala Disecciones, Sag Osorno Desde 1057532-21-L126",12,Recepción Conforme,2026-05-03 19:49:54
1057532-621-SE26,"Cc-Dcr/Mant. Correctiva Ambulancia Ford Transit, Ppu. Kx.Sl-77/ Samu",6,Aceptada,2026-05-03 19:49:54
1057539-3109-AG26,"Sol 19, Mantención, Planchas Melaminas",6,Aceptada,2026-05-03 19:49:54
1057544-8637-SE26,Programa Insumos Clinicos Mayo,12,Recepción Conforme,2026-05-03 19:49:54
1057547-5549-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057547-861-Cot26,12,Recepción Conforme,2026-05-03 19:49:54
1057547-6126-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057547-939-Cot26,6,Aceptada,2026-05-03 19:49:54
1057547-6185-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057547-935-Cot26,6,Aceptada,2026-05-03 19:49:54
1057547-6215-SE26,Orden De Compra Desde 1057547-244-Lq25,4,Enviada a Proveedor,2026-05-03 19:49:54
1057605-5-SE26,"Compra De Masajes Facial, Descontracturante Y Piedras Calientes",6,Aceptada,2026-05-03 19:49:54
1057937-6-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057937-7-Cot26,5,En Proceso,2026-05-03 19:49:54
1058001-247-AG26,Ezetimiba 10 Mg Comprimido.,4,Enviada a Proveedor,2026-05-03 19:49:54
1058095-723-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1058095-242-Cot26,6,Aceptada,2026-05-03 19:49:54
1058134-733-SE26,Orden De Compra Desde 1058134-61-Le24/Abril 2026.,12,Recepción Conforme,2026-05-03 19:49:54
1058134-741-SE26,Orden De Compra Desde 1058134-78-Lr25/Abril 2026.,12,Recepción Conforme,2026-05-03 19:49:54
1058141-680-SE26,(Jbr) Pedido Farmacia Mayo Colecalciferol 500,6,Aceptada,2026-05-03 19:49:54
1067355-162-SE26,Servicio De Lavandería Marzo 2026,12,Recepción Conforme,2026-05-03 19:49:54
1075337-7836-SE26,Rvv Compra Pedido Economato Aseo (Bolsas Transparentes) Mayo 2026 Desde 1075337-39-Lp25,6,Aceptada,2026-05-03 19:49:54
1075337-7841-SE26,Rvv Compra Pedido Economato Aseo (Chatas Desechables) Mayo 2026 Desde 1075337-39-Lp25,6,Aceptada,2026-05-03 19:49:54
