Codigo,Nombre,CodigoEstado,EstadoDescripcion,FechaProcesamiento
1057420-306-SE26,Cs- Mantencion Preventiva De Equipos De Aire Acondicionado Item 22.06.001.001 Hfch51480 (Ism),6,Aceptada,2026-05-03 19:49:54
1057489-6087-SE26,Consignacion Set De Placas De Clavicula Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1057489-6088-SE26,Consignacion Set De Placas De Clavicula Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1057489-6089-SE26,Consignacion Set De Placas De Clavicula Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1057489-6090-SE26,Consignacion Set De Placas De Clavicula Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1057489-6091-SE26,Consignacion Set De Placas De Clavicula Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1057489-6092-SE26,Consignacion Set De Placas De Clavicula Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1057489-6093-SE26,Consignacion Set De Placas De Clavicula Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1057489-6094-SE26,Consignacion Set De Placas De Clavicula Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1058097-471-SE26,Bevacizumab Abril Cx_28-29,12,Recepción Conforme,2026-05-03 19:49:54
1058097-887-SE25,Bevacizumab Octubre 2° Quincena,12,Recepción Conforme,2026-05-03 19:49:54
1077499-41-AG26,Ag Muebles Cosam Allende Fr 2026-195,6,Aceptada,2026-05-03 19:49:54
1079486-61-AG26,Adquisición De Sillas Para El Dpto. De Apoyo A Las Operaciones Pol. Atacama.,6,Aceptada,2026-05-03 19:49:54
1340-199-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1340-25-Cot26,6,Aceptada,2026-05-03 19:49:54
1348-48-AG26,Leña Para Calefacción De La Oficina Del Registro Civil De Chaitén,6,Aceptada,2026-05-03 19:49:54
1366597-906-TD26,Orden De Compra Generada Por Trato Directo Id 1366597-317-Ftd26,6,Aceptada,2026-05-03 19:49:54
1393495-242-SE26,Servicio De Desmalezado Junji,6,Aceptada,2026-05-03 19:49:54
1393495-243-SE26,Servicio De Desmalezado Subv. General,6,Aceptada,2026-05-03 19:49:54
1588-96-SE26,Pasaje Aereo Arturo Farias - Miguel Fernand,6,Aceptada,2026-05-03 19:49:54
1666-194-AG26,"Gasa Parafinada,Apósito Telfa Y Vendaje Compresivo.",6,Aceptada,2026-05-03 19:49:54
1704-2341-SE26,Servicios De Mantenimiento De Areas Verdes Y Riego Tecnificado Correspondiente Al Mes De Marzo 2026.,6,Aceptada,2026-05-03 19:49:54
1952-1239-SE26,1952-144-Lp25 Mantencion Correctiva Central Termica 3/26 Sg,6,Aceptada,2026-05-03 19:49:54
2069-3510-SE26,Sar-Cx-042026-Experto 31481 Abril 2026 Farmacos-Lp,4,Enviada a Proveedor,2026-05-03 19:49:54
2125-915-AG26,Compra De Insumos Clinicos - Preservativos,6,Aceptada,2026-05-03 19:49:54
2132-100-AG26,Reparación Compresor Schulz Tipo Dental Laboratorio,6,Aceptada,2026-05-03 19:49:54
2133-977-SE26,Orden De Compra Desde 2133-68-Lp25,4,Enviada a Proveedor,2026-05-03 19:49:54
2133-978-SE26,Orden De Compra Desde 2133-42-Le25,4,Enviada a Proveedor,2026-05-03 19:49:54
