Codigo,Nombre,CodigoEstado
1002-160-SE26,"SERVICIO DESINSECTACION, SANITIZACION DEPENDENCIAS",6
1006-88-SE26,Servicio de Obras Menores - D.V.Reg. de Magallanes,6
1023923-404-SE26,COMPRA DE SERVICIOS MEDICOS / JUAN MARCELO HERRERA Y CARLA PEREZ LIMITADA,6
1057430-1127-CM26,Pedido Abarrotes Abril (Pacientes),6
1057431-1316-SE26,ORDEN DE COMPRA DESDE 2157-189-LQ24,6
1057492-1627-SE26,SERVICIO DE PROFESIONALES MEDICOS DE ESPECIALIDAD UROLOGIA  (INTERVENCIONES QUIRURGICAS),6
1057492-1628-SE26,SERVICIO DE PROFESIONALES MEDICOS DE ESPECIALIDAD UROLOGIA (INTERCONSULTAS),6
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6
1057509-4919-CC26,Insumo mes de mayo( convenio ssñ-bodegaJOP),6
1057536-1269-SE26,SERVICIOS DE ADMINISTRACIÓN HOSPITAL INFANTOJUVENIL,6
1057551-140-SE26,NSUMOS DE MICROBIOLOGIA LIC N°1057545-13-LR25	,12
1057551-201-AG26,ABARROTES EXTRAS a compra ágil: 1057551-99-COT26,6
1057551-249-SE25,INSUMOS DE MICROBIOLOGIA LIC N°1057545-13-LR25,12
1057551-592-SE25,INSUMOS DE MICROBIOLOGIA LIC N°1057545-13-LR25,12
1057552-325-AG26,Orden de Compra generada por invitación a compra ágil: 1057552-193-COT26,6
1058339-129-AG26,"Compra juegos estimulación usuarios, memo n°53/2026-Progra. cuidados domiciliarios ",6
1069417-412-AG26,Agua Desmineralizada para Unidad Odontológica de CESFAM San Ramón Nonato compra ágil: 1069417-289-COT26,6
1078078-1216-CM26,"SC 23976 - KIT ALIMENTACION 4X4 SIN POUCH - COMUNA DE PARRAL, REGION DEL MAULE",6
1079694-66-SE26,SUMINISTRO DE PETRÓLEO PARA LA TENENCIA CARRETERAS DESDE 1079694-4-LE26,12
1126922-428-AG26,RBD 7977 GENERAL PG02 SERVICIO DE TRANSPORTE PARA LOS ALUMNOS DEL ESTABLECIMIENTO EDUCACIONAL,6
1126922-471-AG26,RBD 7977 GENERAL PG02 SERVICIO DE TRANSPORTE PARA LOS ALUMNOS DEL ESTABLECIMIENTO EDUCACIONAL,6
1126922-477-AG26,RBDS 22293 SERVICIO DE TRANSPORTE ESCOLAR PARA ALUMNOS DE ESTABLECIMIENTO DE LA COMUNA DE FRUTILLAR  ,6
1142-83-AG26,"Adquisición artículos de aseo via compra ágil: 1142-28-COT26, SENAMA.",6
1153624-55-SE26,ORDEN DE COMPRA DESDE 1153624-16-L124,6
1173933-17-AG26,"Servicio de diseño y producción de caja del descubrimiento, que contenga encapsulados en resina y distintos materiales para el desarrollo de talleres y actividades con temática artrópodos, en dependencias del Museo de Historia Natural de Valparaíso.",5
1208983-84-AG26,Adquisición Camas 1 Plaza para RF,6
1213444-156-SE26,SERVICIO REAS ORDEN DE COMPRA DESDE 1213444-6-LP26,6
1216085-143-SE26,INFORMES HOLTER,6
1233613-881-SE26,SUMINISTRO INSUMOS COMPUTACIONALES- MARZO-INSUCO,6
1233613-908-AG26,SERVICIO DE AMPLIFICACIÓN E ILUMINACIÓN PARA ESCUELA JUAN WILLIAMS,6
1260057-474-SE26,95501 MANTENCION CORRECTIVA CALDERAS LICITACION ID 1260057-36-LE25,4
1260057-476-CM26,COMPRA CARNES,4
1260057-481-SE26,COMPRA ALIMENTOS COMPLEMENTARIO,4
1288-254-TD26,Orden de Compra generada por Trato Directo ID 1288-34-FTD25,6
1301-134-SE22,TRATO DIRECTO EXTENSIONISTA FORESTAL,9
1305560-48-SE26,P01 Servicio de Internet y Anexos SLEP VALDIVIA - Año 2026,4
1337362-20-AG26,Materiales y Útiles de Aseo - OC generada por compra ágil: 1337362-10-COT26,6
1346283-98-AG26,"MATERIALES ELÉCTRICOS PARA SALA DE MÚSICA PARA EL CENTRO IP-IRC, COPIAPÓ.",6
1381-271-AG26,Orden de Compra generada por invitación a compra ágil: 1381-208-COT26,6
1403-306-AG26,"Compra de Leña para Caldera, por invitación a compra ágil: 1403-137-COT26",6
1432083-892-AG26,"EDG, VARIOS RBD´S, GENERAL, TRANSPORTE PARA OPERATIVO MEDICO, PANGUIPULLI, 04-05-2026",6
1432083-893-AG26," EDG, VARIOS RBD´S, GENERAL, TRANSPORTE PARA OPERATIVO MEDICO, LANCO, 05-05-2026",6
1432083-894-AG26,"EDG, VARIOS RBD´S, GENERAL, TRANSPORTE PARA OPERATIVO MEDICO, MAFIL, 05-05-2026",6
1455288-129-AG26,(COFA)ADQ. DE PASTELERIA Y PANADERIA.(232/2026),6
1456839-34-AG26,P01 Servicio de Aseo,6
1469-1017-AG26,20-41253 Servicio de dos (2) vehículos estilo VAN para movilización de treinta (30) invitados externos a reunión anual de la Red de Calidad de Universidades Estatales en la Sede Santa Cruz: 1469-1135-COT26,6
1499-2404-AG26,JGS ARTICULOS DE ASEO,6
1536-96-AG26,Orden de Compra generada por invitación a compra ágil: 1536-54-COT26,6
1658-1071-AG26,Orden de Compra generada por invitación a compra ágil: 1658-413-COT26,5
1741-133-AG26,TONER - COMUNICACIONES 9.... compra ágil: 1741-124-COT26,6
1758-34-AG26,Orden de Compra generada por invitación a compra ágil: 1758-31-COT26,6
1801-61-TD26,Orden de Compra generada por Trato Directo ID 1801-6-FTD26,6
1953-714-SE26,SERVICIO REPARACIÓN PARCIAL TECHOS ÁREA ADM ÁREA TÉCNICA Y OFICINA ESTADÍSTICA C.C.P. SAN ANTONIO(cod.26.051),6
2019-17-AG26,Mantención de Generadores Eléctricos en Pasos Fronterizos de Última Esperanza.,6
2026-580-AG26,Orden de Compra generada por invitación a compra ágil: 2026-258-COT26,6
2069-3582-SE26,AHF-CP-052026-INSUMOS CLINICOS MAYO-LQ,6
2129-115-SE26,Mantención y Reparación de Vehículos Municipales.,6
2153-310-SE26,MANTENCION CORRECTIVA EQ MENORES COT 624-623,6
2176-202-AG26,Orden de Compra generada por invitación a compra ágil: 2176-114-COT26,6
2176-74-AG26,Orden de Compra generada por invitación a compra ágil: 2176-30-COT26,6
2207-351-AG26,Orden de Compra generada por invitación a compra ágil: 2207-336-COT26,6
2279-193-AG26,SP 271 compra ágil: 2279-179-COT26,6
2318-306-AG26,Orden de Compra generada por invitación a compra ágil: 2318-224-COT26,6
2318-319-TD26,Orden de Compra generada por Trato Directo ID 2318-26-FTD26,6
2322-268-CM26,"Orden de Compra: 2322-268-CM26 ""STOCK DE MATERIALES DE ASEO BODEGA MUNICIPAL ",4
2322-269-AG26,Orden de Compra generada por invitación a compra ágil: 2322-159-COT26.    Renovación instalación eléctrica en acometida de viviendas en Cachiyuyo,6
2322-283-AG26,Orden de Compra generada por invitación a compra ágil: 2322-217-COT26.  Adquisición chaquetas impermeables para personal de fiscalización y terreno Dirección de Tránsito ,4
2395-362-AG26, (SOL. PED. 445 ) TRASLADO E INSTALACIÓN DE CLÍNICA MÓVIL/ DIRECCIÓN DE SALUD.Orden de Compra generada por invitación a compra ágil: 2395-365-COT26,6
2404-539-AG26,FONDO EXTERNO NP 33 SECOPLAC SERVICIO ARTISTICO CULTURAL CUENTA CUENTOS PRG SOMOS BARRIO Orden de Compra generada por invitación a compra ágil: 2404-244-COT26,6
2407-266-AG26,Compra de áridos para reparación de veredas del Departamento de Operaciones - SP 209 Iddoc 260680,6
2409-312-AG26, ADQ. DE PINTURAS PARA ESCUELA E-922,6
2436-496-AG26,ADQUISICIÓN DE ARTICULOS DE LIMPIEZA NECESARIOS PARA TEATRO PROVINCIAL Orden de Compra generada por invitación a compra ágil: 2436-524-COT26,6
2464-493-AG26,OP 13 ARTICULOS DE ASEO/BODEGA a compra ágil: 2464-574-COT26,6
2464-511-AG26,CUPULA Y PARRILA OP 23 GESTIÓN DE RIESGOS compra ágil: 2464-650-COT26,6
2467-357-CM26,Orden de Compra: 2467-357-CM26 ALIMENTOS PARA HOSPEDERIA,6
2566-128-AG26,Orden de Compra generada por invitación a compra ágil: 2566-96-COT26,6
2568-96-SE26,Serv.alimentacion mes Marzo licitacion 2568-5-LR24,6
2568-97-SE26,Ser. alimentación mes Marzo 2568-6-LR25.,6
2583-294-AG26,Orden de Compra generada por invitación a compra ágil: 2583-318-COT26 S/P 167 ADQUISICION DE COTILLON / DIDECO-PROMOCION DE LOS DERECHOS DE LAS PERSONAS MAYORES  Y PERSONAS EN SITUACION DE DISCAPACIDAD / SBN ,6
2583-298-AG26,Orden de Compra generada por invitación a compra ágil: 2583-330-COT26 SP N° 198/Adquis. de piedras y rocallas/Depto. de Aseo-Daoga/ptg,6
2591-346-AG26,Adquisición de insumos y artículos de oficina para medio ambiente  gestión riesgo y desastre,6
2591-351-AG26,Compra de insumos para la residencia de la unidad rural,6
2686-209-SE26,HABILITACION DEPENDENCIAS MUNICIPALES REINA NORTE DESDE 2686-185-LE25,6
2734-273-AG26,GDA-52388-JMG-DU-PRG-CP,6
2752-8-AG26,"BGI-1217-Adquisición de Juegos didácticos e insumos para la Escuela José Elías Bolivar , con cargo a Subvención SEP. ",6
2765-161-AG26," Reparación chapa DAJ, compra ágil: 2765-150-COT26",6
2776-273-AG26,"S/P 173810, DIDECO, CONTRATACION SERVICIO DE CAPACITACION TEORICO  - PRACTICO EN TERRENO DE GANADERIA REGENERATIVA PARA 25 USUARIOS DE PRODESAL, EN RUBRO BOVINO , SEGUN LO ESTABLECIDO EN LOS TERMINOS DE REQUERIMIENTOS DE LA COMPRA AGIL ID: 277-312-COT26.",6
2783-330-TD26,Orden de Compra generada por Trato Directo ID 2783-234-FTD26,6
2783-365-TD26,Orden de Compra generada por Trato Directo ID 2783-264-FTD26,5
2859-279-AG26,Orden de Compra generada por invitación a compra ágil: 2859-125-COT26,6
2859-310-AG26,Orden de Compra generada por invitación a compra ágil: 2859-268-COT26,6
2862-52-AG26,Orden de Compra generada por invitación a compra ágil: 2862-54-COT26,6
2902-209-TD26,Orden de Compra generada por Trato Directo ID 2902-37-FTD26,6
2909-200-SE26,"EVALAUCIONES PEDIATRICAS, ORDEN DE COMPRA DESDE 2909-18-LE26",6
2909-203-AG26,"transporte escolar diario para escuela los pumitas por el mes de mayo, Orden de Compra generada por invitación a compra ágil: 2909-226-COT26",6
2945-282-CM26,"VÍVERES PARA TALCAHUANO, AL260218",6
