Codigo,Nombre,CodigoEstado
1002772-5973-AG26,"ALGINATO CALCIO 10 X 10 CM ID:1002772-1186-COT26 (AG,MEDI 6B,CIRINF,2204005003,MTM)",6
1002772-5983-AG26,"LUGOL 5% 100 CC,ID 1002772-1163-COT26,(AG,PARTO-PABELLON Y PREPARTO,2204003002,MMC)",6
1020-110-SE26,PASAJE AÉREO - DESTINO TEMUCO,6
1028-99-SE26,ORDEN DE COMPRA DESDE 1028-12-LP26,6
1052642-6-AG26,Póliza de seguro - 90 - Seguridad Publica compra ágil: 1052642-3-COT26,6
1057055-740-SE26,SHV RES 2724 PAC MAYO 2026 SUMINISTRO DE MEDICAMENTO INSULINA HUMANA GLARGINA RECOMBINANTE LAPIZ PRECARGADO 100UIML 3ML CON EQUIPOS EN COMODATO DESDE 1057055-93-LR25,6
1057379-157-CM26,COMPRA VERDURA FRESCA -  ABRIL 2026 - HSAP,12
1057389-1809-CM26,Consumo de Pan ,12
1057402-2976-SE26,(MIS) ALIMENTOS PACIENTES ABRIL/F. Y VERDURAS,12
1057402-2999-SE26,(MIS) ALIMENTOS FUNCIONARIOS ABRIL/F. Y VERDURAS,12
1057402-3015-SE26,(MIS) ALIMENTOS PACIENTES ABRIL/ABARROTES,12
1057402-4815-CM26,MIS/PEDIDO EXTRA ASEO MAYO/TOALLA PAPEL,6
1057414-228-AG26,AG-ADQUISICION DE ARTICULOS DE ASEO PARA EL SERVICIO DE SALUD BIOBIO-REQ.63-22.04.007.002 -BDSS229086-(joy),6
1057417-10839-AG26,IG rrr AG PEDIDO ABRIL 2026 IMPRENTA,12
1057417-10840-AG26,IG rrr AG PEDIDO ABRIL 2026 ETIQUETAS Y FICHAS,12
1057417-11043-SE26,"IG jpg LP, pedido mayo 2026,envases dese",12
1057417-11302-CM26,"IG msp CM Pedido Mayo, Compra insumos de aseo",12
1057417-11306-CM26,"IG msp CM Pedido Maryo, Compra Alimentos",12
1057417-11585-AG26,"IG jpg AG, pedido mayo, accesorio mamadera",12
1057417-11593-AG26,IC MCM AG IC PEDIDO MAYO 2026,6
1057417-9799-AG26,IG rrr AG PEDIDO MARZO 2026 POSICIONADOR DE CABEZA,12
