Codigo,Nombre,CodigoEstado,EstadoDescripcion,FechaProcesamiento
1004-65-SE26,Servicio Arriendo De Maquinaria Para Faenas De Con,6,Aceptada,2026-05-03 19:49:54
1023923-391-SE26,Compra Servicios Medicos / Sociedad Medica P Y C Spa,6,Aceptada,2026-05-03 19:49:54
1023923-410-SE26,Compra Servicios Medicos / Servicios Medicos Augusto Campos Spa,6,Aceptada,2026-05-03 19:49:54
1057389-2094-AG26,Trapero Microfibra 50X70 Cm,6,Aceptada,2026-05-03 19:49:54
1057404-475-AG26,Insumos Central De Esterilizacion - Orden De Compra Generada Por Invitación A Compra Ágil: 1057404-336-Cot26,6,Aceptada,2026-05-03 19:49:54
1057415-2898-SE26,Cs- Iinstalacion De Aire Acondicionado- Servicios Generales-Req. 7-22.06.001-Hfcn 46592-Ijf,6,Aceptada,2026-05-03 19:49:54
1057417-11423-CM26,"Ig Msp Cm Pedido Mayo, Compra Alimentos",6,Aceptada,2026-05-03 19:49:54
1057417-11563-AG26,"Ic Gvsm Ag Oic, Solic. Adq. 419136 (1057417-1570-Cot26)",6,Aceptada,2026-05-03 19:49:54
1057417-11610-AG26,"Ic Gvsm Ag Ml, Pedido Mayo 2026 (1057417-1605-Cot26)",6,Aceptada,2026-05-03 19:49:54
1057421-206-AG26,Ag- Colchón Antiescaras Y Almohadas Para Unidad De Hospitalizados Hfc Laja. Folio N°53.221 Req-9- Ítem 2204014 (Cfg),12,Recepción Conforme,2026-05-03 19:49:54
1057421-227-AG26,Ag Insumos Clínicos Para Hfc Laja. Folio N°53640/53657 Req-9- Ítem 22.04.005.001 (Cfg),12,Recepción Conforme,2026-05-03 19:49:54
1057421-243-CC26,Cc- Retiro De Residuos Peligrosos Y Especiales Mes Marzo 2026 Hfc Laja. Folio N°54.143 Req-9- Ítem 22.08.001 (Cfg),12,Recepción Conforme,2026-05-03 19:49:54
1057429-1002-SE26,"Frutas Y Verduras F, Entrega Lunes 27-04",6,Aceptada,2026-05-03 19:49:54
1057429-951-SE26,"Frutas Y Verduras F, Entrega Viernes 24-04",6,Aceptada,2026-05-03 19:49:54
1057429-952-SE26,Frutas Y Verduras P. Entrega Viernes 24-04,6,Aceptada,2026-05-03 19:49:54
1057429-976-SE26,Servicios De Manipulacion De Alimentos Mes De Abril,6,Aceptada,2026-05-03 19:49:54
1057472-7634-SE26,Orden De Compra Desde 1057472-76-Lr21,6,Aceptada,2026-05-03 19:49:54
1057476-344-SE26,Hogar Tipo 3 | Jimmy,6,Aceptada,2026-05-03 19:49:54
1057476-389-SE26,Alimentos No Perecibles Macrofood 25.04,4,Enviada a Proveedor,2026-05-03 19:49:54
1057476-390-SE26,Alimentos No Perecibles Sidapt 25.04,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-3144-SE26,Ic Insumos Vasculares Grupo 2 1057489-403-Lq25,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5444-CM26,Vale De Carga De Gas,6,Aceptada,2026-05-03 19:49:54
1057489-5557-SE26,O.Q 2002630017 Sonda Hematologica Kit 10 Determina,6,Aceptada,2026-05-03 19:49:54
1057489-5764-SE26,O.Q 2002629955 Filtro Para Celulas 70Um Nylon Este,6,Aceptada,2026-05-03 19:49:54
1057489-5791-CM26,Jeringa 3Ml Luer Slip C/Aguja 21G- 1.1/2,6,Aceptada,2026-05-03 19:49:54
1057489-5820-SE26,Consignacion Marzo 2026 Insumos Cirugia Catarata,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5833-SE26,Ic 2002257752 Equipo Adm. Macrogota Con Toma De Aire Sin Filtro 20 Gotas/Ml (Umt),4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5866-SE26,Ic Insumos Para Servicio De Odontología 1057489-502-Lp25,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5948-SE26,Ic 2003400391 Ejercitador Pulmonar,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5949-SE26,Ic Fresas Para Otorrino 1057489-326-Lr23,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5950-SE26,Ic 2003400007 Cateter Swan Ganz 8F X 110Cm,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5951-SE26,Ic 2003477523 Electrodo Anal Con Cable Fijo 2Mm Enchufe Hembra,6,Aceptada,2026-05-03 19:49:54
1057489-5952-SE26,Ic 2003400197 Humidificador Prellenado 350Ml De Alto Flujo,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5953-SE26,Ic 2002241006 Malla Vicryl 30X30Cm,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5954-SE26,Ic Aguja De Electromiografia Diferentes Medidas 1057489-344-Le25,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5955-SE26,Ic 2003477524 Electrodos Autoadhesivos 5Cm X 5Cm P/Equipo De Electroestimulacion,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5956-SE26,Ic Canastillos Para Urología 1057489-347-Lq24,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5957-SE26,Ic 2003450159 Mini Ancla De Titanio De 2 Mm,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5958-SE26,Ic Vainas Para Servicio De Vascular 1057489-359-Lq25,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5959-SE26,Ic 2003409915 Ligadura P/Puncion Venosa C/Latex (Unidad),4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5961-SE26,Ic 2002240046 Escobillas Lavador Quirurgico S/Antiseptico,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5962-SE26,Ic 2002250007 Torula Gasa Tejida 3Cm Esteril X 10 A 30 Unidades Con Hilo Radiopaco (Doble Envoltorio),4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5963-SE26,O.Q. 2002269501 Solucion Desinfectante De Alto Nivel Ortoftaldehido 3.8 Lt,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5964-SE26,Ic 2003400462 Lapiz Aspirador Electrobisturi,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5965-SE26,Ic 2002250091 Aposito Carbon Activado 10 X 10Cm,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5966-SE26,Ic 2002220523 Sonda Foley 20Fr 75Cc 3 Vias Con Pun,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5967-SE26,Ic 2003460124 Aceite De Silicona 5000 Cs 10Ml Intraocular,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5968-SE26,Ic 2003460141 Set De Intubacion Con Via Lagrimal Cabezal Angosto,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5969-SE26,Ic 2002240343 Malla Parcialmente Absobible 6X11Cm,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5970-SE26,Ic 2002250104 Aposito Transparente Avanzado Con Hendidura De 8.5X11.5Cm Para Cvc,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5971-SE26,Ic 2003459910 Bota Inmovilizadora Talla L,4,Enviada a Proveedor,2026-05-03 19:49:54
1057489-5972-SE26,Ic 2003013083 Tijera Laparoscopica Monopolar 5X35,4,Enviada a Proveedor,2026-05-03 19:49:54
1057498-1615-CM26,Oa Jeringa Desechable Insulina 1 Ml 31G X 6 Mm Aguja Fija Con Blister / Jeringa Desechable Tuberculina 1Ml 27 G X 1/2 Orden De Compra: 1057498-1615-Cm26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057498-1618-AG26,Oa Set Cuidado Oral Orden De Compra Generada Por Invitación A Compra Ágil: 1057498-1044-Cot26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057498-1648-AG26,Oa Papel Electrocardiografo 210 Mm X 50 Mt Orden De Compra Generada Por Invitación A Compra Ágil: 1057498-1154-Cot26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057498-1659-AG26,Oa Antiseptico Chloraprep Aplicador (Clorhexidina S/Tinte) 1Ml Orden De Compra Generada Por Invitación A Compra Ágil: 1057498-1156-Cot26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057498-1661-AG26,Oa Aerocamara Pediatrica Orden De Compra Generada Por Invitación A Compra Ágil: 1057498-1155-Cot26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057498-1662-AG26,Oa Aguja Desechable 19 G X 1 1/2 Orden De Compra Generada Por Invitación A Compra Ágil: 1057498-1153-Cot26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057498-1664-AG26,Oa Equipo Aspiracion Continua 15Fr Orden De Compra Generada Por Invitación A Compra Ágil: 1057498-1165-Cot26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057498-1665-AG26,Oa Sonda De Aspiracion / Sonda Nasogastrica / Trocar Espinal Punta Lapiz Orden De Compra Generada Por Invitación A Compra Ágil: 1057498-1161-Cot26,4,Enviada a Proveedor,2026-05-03 19:49:54
1057501-3451-AG26,Logist Oc Extra Por Caja Fuerte: 1057501-724-Cot26 Marzo 2026,6,Aceptada,2026-05-03 19:49:54
1057503-1469-AG26,Op_Mi_Programa Monday,6,Aceptada,2026-05-03 19:49:54
1057509-2420-SE26,Adq.C.Pabellon Mar26(Conv.-Jaa),12,Recepción Conforme,2026-05-03 19:49:54
1057509-2549-SE26,"Material Oficina Marzo 2026 (Conv, Psm)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-3259-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-873-Ftd26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-3326-SE26,Cuadro Concentrados Dialisis Abril 2026 (Conv-Hchm-Pba),12,Recepción Conforme,2026-05-03 19:49:54
1057509-3557-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-991-Ftd26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-3655-SE26,"Ins. Computacionales Abril 2026 (Conv, Prm)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-3706-AG26,"Adq. Chagas 1057509-298-Cot26(Ca,Lab,Nvs)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-3759-AG26,Adq.C.Compra Pabellon Mar26(Tdurg.-Jaa),12,Recepción Conforme,2026-05-03 19:49:54
1057509-3767-CC26,"Valoquim Abril 2026(Cn,Lab,Nvs)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-3844-SE26,Cuadro De Insumos Abril 2026 (Conv-Hchm-Cca),12,Recepción Conforme,2026-05-03 19:49:54
1057509-3945-CM26,Cuadro De Insumos Abril 2026 (Cm-Cca),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4020-SE26,Insumos Mes De Abril 2026(Lic. -Psm),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4021-CC26,Cuadro Roperia Y Textiles Abril 2026 (Conv.-Ssñ-Pba),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4046-CM26,Insumos Mes De Abril 2026(Cjm),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4077-SE26,Insumo Mes De Abril( Convenio Hchm-Bodega-Jop),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4092-SE26,Insumo Mes De Abril ( Convenio Hchm-Bodega-Jop),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4136-AG26,"Cuadro Pabellon Abril (Ca,Psm) 1057509-357-Cot26",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4178-SE26,Insumos Mes De Abril 26(Conv. - Cjm),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4189-CM26,Insumo Mes De Abril( Convenio Marco-Bodega-Jop)Orden De Compra: 1057509-4189-Cm26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4195-SE26,Insumo Mes De Abril ( Convenio Hchm-Bodega-Jop),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4220-AG26,"Cuadro Pabellon Abril 2026 (Ca,Psm) 1057509-356-Cot26",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4242-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-786-Ftd26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4319-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057509-378-Cot26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4326-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-916-Ftd26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4341-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-950-Ftd26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4353-SE26,Insumo Mes De Abril(Convenio Hchm-Bodega-Jop),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4390-AG26,Adq. Banqueta 4 Puestos Mes Abril 2026-Compra Ágil (Pba): 1057509-374-Cot26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4400-AG26,"Compra Extra Abril 2026 Compra Ágil Id 1057509-387-Cot26(Ca, Lab,Nvs)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4407-AG26,Insumo Mes De Abril( Compra Agil-Bodega-Jop) 1057509-399-Cot26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4409-CM26,"Perecibles 22 A 28 Abril 2026 (Cm, Prm)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4410-CM26,"Perecibles 22 A 28 Abril 2026 (Cm, Prm)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4411-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-1120-Ftd26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4420-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-1112-Ftd26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4430-AG26,"Compra Extra Compra Ágil Id 1057509-409-Cot26(Ca,Lab,Nvs)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4465-SE26,"Perecibles 22 A 28 Abril 2026 (Conv, Prm)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4469-SE26,"Perecibles 22 A 28 Abril 2026 (Conv, Prm)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4497-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-1137-Ftd26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4525-SE26,Insumos Mes De Abril 25(Conv. - Cjm),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4555-CM26,"Alimentos Dia Del Trabajador 2026 (Cm, Prm)",12,Recepción Conforme,2026-05-03 19:49:54
1057509-4559-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057509-403-Cot26,12,Recepción Conforme,2026-05-03 19:49:54
1057509-4569-SE26,Cuadro Menaje Mayo 2026 (Conv.Hchm.Pba),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4603-SE26,Cuadro Menaje Mayo 2026 (Conv.Hchm.Pba),12,Recepción Conforme,2026-05-03 19:49:54
1057509-4686-TD26,Orden De Compra Generada Por Trato Directo Id 1057509-1196-Ftd26,6,Aceptada,2026-05-03 19:49:54
1057533-181-AG26,Fsc-76|Yrv|1057533-91-Cot26|Carnes Y Congelados Mayo 2026,6,Aceptada,2026-05-03 19:49:54
1057544-7193-SE26,Orden De Compra Desde 1057544-28-Lp26,6,Aceptada,2026-05-03 19:49:54
