Codigo,Nombre,CodigoEstado
1057414-358-TD26,Orden de Compra generada por Trato Directo ID 1057414-17-FTD26,6
1057434-531-SE26,SERVICIOS DE MOVILIZACION PARA TRASLADO DE EQUIPOS DE SALUD Y REQUERIMIENTOS A FINES DEL CESFAM DR. VICTOR MANUEL FERNANDEZ,6
1057439-3391-TD26,Orden de Compra generada por Trato Directo ID 1057439-551-FTD26,6
1057536-1389-AG26,Orden de Compra generada por invitación a compra ágil: 1057536-562-COT26,6
1058498-20-SE26,ARRIENDO DE IMPRESORA BROTHER L6900DW 30/36 MES DE ABRIL 2026 (INFORMATICA),6
1077908-89-AG26,SC N° 284 COMPRA DE CARRO DE TRASLADO DE ROPA Y TEXTILES/ LAVANDERIA PARA UNIDAD EMERGENCIA DEL C.O.N.,6
1233613-887-SE26,PARLANTE- MARZO-ESCUELA ESPAÑA,6
1238167-163-TD26,Orden de Compra generada por Trato Directo ID 1238167-22-FTD26,6
1346350-19-AG26," Adquisición de Premios Fair Play Anfa Quillon, Deportes” compra ágil: 1346350-17-COT26",6
1413-392-AG26,CDP DE CASTRO REQUIERE HERRAMIENTA PARA MANTENCIÓN (ROTOMARTILLO compra ágil: 1413-145-COT26,6
1413-416-AG26,CET OSORNO ADQUIERE COCINA Y CALEFONT PARA COCINA FUNCIONARIOS Orden de Compra generada por invitación a compra ágil: 1413-147-COT26,6
1459242-12-AG26,"SERVICIO DE ALIMENTACIÓN Y ARRIENDO DE SALÓN PARA CAPACITACIÓN CURSO ""TODOS A BORDO GESTIONANADO EL CAMBIO RUMBO AL NUEVO HOSPITAL"" A REALIZARSE LOS DIAS 19 DE MAYO Y 08 DE JULIO 2026, H. PARRAL.",6
1469-1039-AG26,20-41167 Orden de Compra generada por invitación a compra ágil: 1469-1125-COT26,6
1663-510-AG26,CAJAS ORGANIZADORAS - PPTO 22.04.014,6
1671-77-AG26,Programa Chagas / Levadura y Azúcar.,6
1947-2124-SE26,810 Servicio de Infraestructura y Soporte de Servidores (06/36) - MARZO 2026 - Sistemas y Tecnologías de Información (MMT),5
1947-2296-SE26,810 Servicio de Infraestructura y Soporte de Servidores (07/36) - ABRIL 2026 - Sistemas y Tecnologías de Información (MMT),5
2179-107-AG26,"Suministro e Instalacion de Motores Electricos, compra ágil: 2179-88-COT26",6
2258-4003-SE26,OC para 2258-213-LQ24 ABRIL 2026,6
2289-471-SE26,PRESENTACION ARTISTICA MUSICAL DIA 06/03,6
2291-815-AG26,"NP 28 OPERATIVA, ARRIENDO 25 DIAS MOTOBOMBA CENTRIFUGA DIESEL TRACK,  2291-436-COT26",6
2295-67-SE26,ORDEN DE COMPRA DESDE 2295-43-LE26,6
2393-590-AG26,Orden de Compra generada por invitación a compra ágil: 2393-464-COT26,6
2429-505-AG26,Orden de Compra generada por invitación a compra ágil: 2429-400-COT26,6
2658-582-AG26,Orden de Compra generada por invitación a compra ágil: 2658-582-COT26,6
2658-601-AG26,Orden de Compra generada por invitación a compra ágil: 2658-614-COT26,6
2658-602-AG26,Orden de Compra generada por invitación a compra ágil: 2658-603-COT26,6
2677-115-AG26,SERVICIO TÉCNICO EQUIPAMIENTO DENTAL,6
2730-192-SE26,"regularizacion, convenio suministro transporte",6
2730-194-SE26,Serv. Barcaza para traslado Maquinaria Municipal,6
2730-210-SE26,Servicio de Traslado Marítimo Transbordador ,6
2785-332-AG26,SDA 5889/ SERVICIO DE TRANSPORTE PARA 4 FECHAS DISTINTAS- a compra ágil: 2785-333-COT26,6
2859-375-AG26,Orden de Compra generada por invitación a compra ágil: 2859-320-COT26,6
3149-137-AG26,Orden de Compra generada por invitación a compra ágil: 3149-122-COT26,6
3190-106-AG26,REPARACION DE CAÑERIAS DE GAS DE LA GOBERNACION MARITIMA DE SAN ANTONIO SEGUN COMPRA AGIL N°: 3190-105-COT26,6
3201-137-AG26,PIZARRA ROTATIVA BLANCA T/120*90 CON RUEDAS ESCUELA DOMIOTILA PINNA PARRA,6
3695-187-SE26,CONVENIO DE CONTRATACIÓN DE SERVICIO DE TRANSPORTE,6
3871-98-SE26,PROGRAMA CONTROL DE PLAGAS DEPARTAMENTO DE SALUD AÑO 2026 66,6
4044-319-AG26,Orden de Compra generada por invitación a compra ágil: 4044-253-COT26,6
4180-76-AG26,ADQUISICIÓN DE 02 CASILLEROS DE UN CUERPO ,6
4322-283-AG26,Orden de Compra ágil: 4322-266-COT26 SERVICIO DE COCTELERIA MALON DE BIENVENIDA PROGRAMA VINCULOS VERSION 20,6
434-392-AG26,Orden de Compra generada por invitación a compra ágil: 434-254-COT26,4
511505-110-AG26,PROYECTO FIUDA2030,6
5158-53-AG26,LIMPIEZA Y MANTENCIÓN DE LA RED DE DRENES DE AGUAS LLUVIAS: 5158-41-COT26,6
5349-996-TD26,Orden de Compra generada por Trato Directo ID 5349-179-FTD26,6
559511-130-AG26,Trabajos de reparaciones varias interior Escuela La Bandera E-97 compra ágil: 559511-53-COT26,6
595824-65-CC26,ARRIENDO DE IMPRESORAS ABRIL 2026,6
628-30-AG26,"Servicio de arriendo de cámaras de vigilancia para la Dirección Nacional por 24 meses, desde C.A. 628-11-COT26",6
697057-61-AG26,Recarga teléfono satelital,6
800-2905-AG26,DOG_DETERMINACIONES BANCO DE SANGRE ABRIL(800-3413-COT26/215081),6
804962-77-AG26,INSUMOS PARA IMPRESIONES 3D,6
930039-19-AG26,TRIPTICOS PARA EL MUSEO REGIONAL DE AYSÉN,6
