Codigo,Nombre,CodigoEstado
1023923-404-SE26,COMPRA DE SERVICIOS MEDICOS / JUAN MARCELO HERRERA Y CARLA PEREZ LIMITADA,6
1057430-1127-CM26,Pedido Abarrotes Abril (Pacientes),6
1057431-1316-SE26,ORDEN DE COMPRA DESDE 2157-189-LQ24,6
1065268-136-SE26,CS - MANTENCION REPARATIVA DE INSTALACIONES BASE SAMU CABRERO 22.06.001.002 SAMU 37101 (ccv),6
1075963-5585-SE26,ORDEN DE COMPRA DESDE 1075963-2-LQ25,6
1079566-136-AG26,"SERVICIO DE MANTENCION Y/O RECARGA DE EXTINTORES AÑO 2026, DESTINADOS A LA ZONA DE CARABINEROS MAULE",5
1091-145-TD26,Orden de Compra generada por Trato Directo ID 1091-37-FTD26,6
1126922-428-AG26,RBD 7977 GENERAL PG02 SERVICIO DE TRANSPORTE PARA LOS ALUMNOS DEL ESTABLECIMIENTO EDUCACIONAL,6
1126922-477-AG26,RBDS 22293 SERVICIO DE TRANSPORTE ESCOLAR PARA ALUMNOS DE ESTABLECIMIENTO DE LA COMUNA DE FRUTILLAR  ,6
1142-83-AG26,"Adquisición artículos de aseo via compra ágil: 1142-28-COT26, SENAMA.",6
1171317-18-SE26,CONTRATO DE SUMINISTRO GENERAL DE ÁRIDOS,6
1213444-156-SE26,SERVICIO REAS ORDEN DE COMPRA DESDE 1213444-6-LP26,6
1271178-150-AG26, MEMORANDUM Nº 00114/2026 SOLICITA COMPRA DE REPUESTO Orden de Compra generada por invitación a compra ágil: 1271178-83-COT26,6
1301-134-SE22,TRATO DIRECTO EXTENSIONISTA FORESTAL,9
1432083-894-AG26,"EDG, VARIOS RBD´S, GENERAL, TRANSPORTE PARA OPERATIVO MEDICO, MAFIL, 05-05-2026",6
1455288-129-AG26,(COFA)ADQ. DE PASTELERIA Y PANADERIA.(232/2026),6
1623-127-AG26,"Impresoras, compra ágil: 1623-99-COT26",9
2322-268-CM26,"Orden de Compra: 2322-268-CM26 ""STOCK DE MATERIALES DE ASEO BODEGA MUNICIPAL ",4
2388-104-SE26,RESMAS LICEO BICENTENARIO SEP.,6
2464-493-AG26,OP 13 ARTICULOS DE ASEO/BODEGA a compra ágil: 2464-574-COT26,6
2566-128-AG26,Orden de Compra generada por invitación a compra ágil: 2566-96-COT26,6
